Estrato_Socioeconomico,Puntaje_Saber_11
3,285
2,248
4,330
2,261
3,291
5,375
1,225
3,279
2,255
6,420
4,321
3,299
2,250
5,368
3,288
2,260
1,231
4,335
3,280
2,258
3,305
5,380
2,245
3,295
1,220
4,315
2,265
3,282
6,430
2,252
3,290
4,340
2,270
5,372
3,281
1,235
2,249
3,301
4,328
2,262
3,275
6,410
2,259
3,287
5,385
1,228
4,319
2,268
3,293
2,251
3,278
4,338
2,271
5,365
3,296
1,233
2,256
3,300
4,325
6,440
2,247
3,284
2,263
5,378
3,289
1,222
4,322
2,253
3,298
2,267
3,277
4,332
2,272
5,388
3,294
1,230
6,415
2,246
3,286
2,264
4,320
3,303
5,390
2,257
3,283
1,226
2,269
4,318
3,292
2,254
6,425
3,276
2,266
4,327
3,302
5,370
1,232
2,248
3,297
2,273
4,333
3,285
2,250
1,224
5,382
3,291
2,261
4,324
3,279
6,435
2,258
3,288
2,270
4,336
3,295
1,229
5,376
2,249
3,304
2,274
4,317
3,281
2,255
6,418
1,234
3,289
2,262
5,386
4,329
3,294
2,252
3,284
1,221
4,326
2,268
3,299
2,271
5,373
6,428
3,287
2,259
4,331
3,280
1,227
2,265
3,296
2,253
4,337
5,392
3,292
2,264
3,278
6,445
1,223
2,272
4,323
3,286
2,260
5,371
3,301
2,254
4,316
1,231
3,282
2,267
6,422
3,290
2,256
5,381
4,334
3,283
1,225
2,263
3,298
2,273
4,339
5,377
3,293
6,438
2,251
3,275
1,228
4,319
2,266
3,287
2,257
5,389
3,297
2,269
4,321
3,303
1,224
6,412
2,248
3,285
2,262
4,328
5,374
3,291
2,250
3,280
1,233
4,335
2,270
3,295
2,255
6,431
5,383
3,288
2,265
4,320
3,279
1,222
2,259
3,299
2,274
5,391
4,327
3,284
2,261
6,417
1,230
3,293
2,253
4,333
3,282
5,379
2,268
3,296
1,226
4,318
2,271
3,277
6,426
2,252
3,290
2,264
5,387
4,325
3,286
1,229
2,258
3,302
2,272
4,336
5,380
3,294
6,442
2,254
3,281
1,221
4,322
2,267
3,289
2,260
5,375
3,298
2,273
4,317
1,232
6,420
3,276
2,256
3,287
2,263
5,384
4,330
3,292
1,227
2,269
3,300
2,251
4,324
6,433
3,283
2,259
5,372
3,278
1,223
2,266
4,319
3,291
2,261
